Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f1a1526bc5d7e6092c2b5826bbb7b82fcf675cc3e19cad9a43252b6c7e8b76eb,2020-12,West Yorkshire Police,West Yorkshire Police,-1.904966,53.732605,On or near SILVERWOOD AVENUE,E01010927,Calderdale 009A,Unable to prosecute suspect
9e3a7cd904f758a9baea6bd197083d8ac6ec2881ca85f42b6baf3802983ad0e1,2020-12,West Yorkshire Police,West Yorkshire Police,-1.892387,53.874568,On or near LAKE STREET,E01010708,Bradford 006C,Unable to prosecute suspect
af36210d3f8eaaea2e83eff41a334b3d493bc9e49345776f59e727a55e2331dd,2020-12,West Yorkshire Police,West Yorkshire Police,-1.895940,53.723277,On or near HUBERT STREET,E01010998,Calderdale 010C,Unable to prosecute suspect
1674fca4e0e606344b4819d86395b7927b6447989f6a3a303cdbff839eec9113,2020-12,West Yorkshire Police,West Yorkshire Police,-1.796990,53.632631,On or near HAIGH STREET,E01011081,Kirklees 043B,Investigation complete
625cd5e8b48e0c59e91f7240cd2efd2f5ad2c14a4cd06f4ef4a33b54b74addba,2020-12,West Yorkshire Police,West Yorkshire Police,-1.721331,53.793465,On or near GREENHILL LANE,E01010622,Bradford 042C,Unable to prosecute suspect
883ea16f30c5afdb1f2cd4b11df9f79ff4a34b0758b073ca5ef990433857fced,2020-12,West Yorkshire Police,West Yorkshire Police,-1.904966,53.732605,On or near SILVERWOOD AVENUE,E01010927,Calderdale 009A,Unable to prosecute suspect
9fbf4b38f75b5e65a53779cd8d64a09047a81bb496206dbdc701566337b2ce8c,2020-12,West Yorkshire Police,West Yorkshire Police,-1.707039,53.835962,On or near LABURNUM PLACE,E01010683,Bradford 017A,Further investigation is not in the public interest
1b3aa740a6e8f2f11a24dfac3c868ae83670bce096f13db9407ef18badee28ab,2020-12,West Yorkshire Police,West Yorkshire Police,-1.703816,53.872805,On or near ELIOT GROVE,E01011267,Leeds 009B,Unable to prosecute suspect
ada3b40a1661776876b4cb183b990cf9193efd46df9ef7950837f9d798488fe7,2020-12,West Yorkshire Police,West Yorkshire Police,-1.658214,53.699700,On or near MOORSIDE ROAD,E01011025,Kirklees 016A,Unable to prosecute suspect
9c6b62901da73332341559cbafa8b966554ae87e1e2dc41d6f09603557d41d24,2020-12,West Yorkshire Police,West Yorkshire Police,-1.598511,53.704027,On or near FIELDHEAD GARDENS,E01011126,Kirklees 014C,Unable to prosecute suspect
40ece8d581a1ebf7fc8ddb5e6da63e699392c5392ce771f9adb848239625a5cd,2020-12,West Yorkshire Police,West Yorkshire Police,-1.704052,53.765947,On or near MOORCROFT TERRACE,E01010814,Bradford 057A,Unable to prosecute suspect
c578500c90a9865d4892ebbdc38c16f7cc38fe476cb4c4bb98d5a1c924c2583d,2020-12,West Yorkshire Police,West Yorkshire Police,-1.810612,53.755000,On or near GREENACRES DRIVE,E01010932,Calderdale 003B,Unable to prosecute suspect
cb4c12958a84d852626ebc12ad6d04ffa8e34a199daf9d433484936201b2e39d,2020-12,West Yorkshire Police,West Yorkshire Police,-1.716867,53.804923,On or near NEWLANDS AVENUE,E01010625,Bradford 038C,Investigation complete
d573a6dc98628d91354bb60ef319d9ea8e48cdbbeafb1b7caca39a53aa8dbbd9,2020-12,West Yorkshire Police,West Yorkshire Police,-1.707267,53.788030,On or near DUDLEY GROVE,E01011606,Leeds 076D,Unable to prosecute suspect
dc2460e30b2a9a68967114536dad04ee7f820cd064e44048fabe3cde2db9ac52,2020-12,West Yorkshire Police,West Yorkshire Police,-1.670694,53.802693,On or near Shopping Area,E01011587,Leeds 062B,Investigation complete
e02545b32bf7c8a62753da347fc391419cc3e720698e32535491c84b8508e990,2020-12,West Yorkshire Police,West Yorkshire Police,-1.609295,53.713950,On or near LYDGATE ROAD,E01011013,Kirklees 007A,Investigation complete
22090c5a51a6ca85a7b180324659b8b3b6aab435ed51678337854d934185784c,2020-12,West Yorkshire Police,West Yorkshire Police,-1.521949,53.705643,On or near APPLE SHAWN CRESCENT,E01011888,Wakefield 014C,Unable to prosecute suspect
76cb43b954d0e862df47b056091c7066d9e349a853c73502664c2b05b5752e9e,2020-12,West Yorkshire Police,West Yorkshire Police,-1.529091,53.683290,On or near FLANSHAW AVENUE,E01011927,Wakefield 022F,Unable to prosecute suspect
f8d46740b58db3ac777fad070a9bf4a64c5b16be410b08eefc3104edbde89890,2020-12,West Yorkshire Police,West Yorkshire Police,-1.612246,53.856087,On or near HOLTDALE PLACE,E01011378,Leeds 013C,Unable to prosecute suspect
715e00b2ba18b527306b67f882c971f132a47af07fec97de0e62b6a5b13d9e24,2020-12,West Yorkshire Police,West Yorkshire Police,-1.576096,53.795539,On or near Prison,E01011294,Leeds 071D,Action to be taken by another organisation
9ecd55431a97d2e1c1c50a28d8fa7c27f1c9277f921a7e726ab762a772364b24,2020-12,West Yorkshire Police,West Yorkshire Police,,,No location,,,Investigation complete
62907dc591814e65aa1f9dedc9142cbe8bc6e8835c1a1fa8963bfe354197062e,2020-12,West Yorkshire Police,West Yorkshire Police,-1.529407,53.819264,On or near NEWTON WALK,E01011356,Leeds 042A,Unable to prosecute suspect
4ed13b848b282f1e003a3c47bf8d00876135698b404e73f84b0644866aa02094,2020-12,West Yorkshire Police,West Yorkshire Police,-1.599340,53.744360,On or near QUEEN'S PLACE,E01011541,Leeds 104B,Investigation complete
